timestamp,run_type,location_city,location_country,fx_value,rain_probability,trends_json,news_json,jobs_json,sports_json,insights_json,pulse_index,system_state,ai_pulse_index
2026-05-01T13:34:27.172937,hourly,Lagos,Nigeria,1374.919621,8,"{'fuel price Nigeria': 0, 'dollar rate Nigeria': 0, 'food price Nigeria': 0, 'jobs in Nigeria': 0, 'isPartial': True}","[{'source': 'punch', 'title': 'NOA DG hails workers’ resilience on May Day'}, {'source': 'punch', 'title': 'Workers’ Day: Labour remains foundation of great society, says Anambra First Lady'}, {'source': 'punch', 'title': 'Group hails FG, Uba Sani for N178bn road project'}, {'source': 'vanguard', 'title': 'China rolls out zero-tariff access for Nigeria, 52 other African countries'}, {'source': 'vanguard', 'title': 'Nigerians among ring leaders as US dismantles $215m email scam spanning 19 countries'}, {'source': 'vanguard', 'title': 'NDLEA busts Abuja drug hubs, arrests 132 suspects, seizes 220kg illicit substances'}]","[{'title': 'Product Marketing Lead', 'company': 'Paragon', 'location': 'Los Angeles or Remote'}, {'title': 'Legal Data Analyst Junior Vaga Afirmativa para PCD', 'company': 'Jusbrasil', 'location': 'Belo Horizonte ou Salvador'}, {'title': 'Manager Client Support RH Boutique Partners', 'company': 'Waterworks', 'location': 'Remote'}, {'title': 'Senior Manager Clinical Biomarker Operations', 'company': 'Apogee Therapeutics', 'location': 'Remote'}, {'title': 'Executive Briefing Specialst', 'company': 'New Relic', 'location': 'San Francisco'}]","[{'title': ""Is Saudi Arabia's sports revolution unravelling?"", 'source': 'bbc_sport'}, {'title': 'Dua Lipa declines offer to perform at Fury v Joshua', 'source': 'bbc_sport'}, {'title': 'Van Gerwen punched in face during bar attack', 'source': 'bbc_sport'}, {'title': 'Why was Mudryk given ban in secret and what happens now?', 'source': 'bbc_sport'}, {'title': ""Vonn still in 'survival mode' after Olympic crash"", 'source': 'bbc_sport'}]",💼 Job market activity detected | ⚽ High sports engagement,18,moderate_pressure,35
2026-05-01T13:41:33.328017,hourly,Lagos,Nigeria,1374.904398,8,"{'fuel price Nigeria': 0, 'dollar rate Nigeria': 0, 'food price Nigeria': 0, 'jobs in Nigeria': 0, 'isPartial': True}","[{'source': 'punch', 'title': 'NOA DG hails workers’ resilience on May Day'}, {'source': 'punch', 'title': 'Workers’ Day: Labour remains foundation of great society, says Anambra First Lady'}, {'source': 'punch', 'title': 'Group hails FG, Uba Sani for N178bn road project'}, {'source': 'vanguard', 'title': 'China rolls out zero-tariff access for Nigeria, 52 other African countries'}, {'source': 'vanguard', 'title': 'Nigerians among ring leaders as US dismantles $215m email scam spanning 19 countries'}, {'source': 'vanguard', 'title': 'NDLEA busts Abuja drug hubs, arrests 132 suspects, seizes 220kg illicit substances'}]","[{'title': 'Product Marketing Lead', 'company': 'Paragon', 'location': 'Los Angeles or Remote'}, {'title': 'Legal Data Analyst Junior Vaga Afirmativa para PCD', 'company': 'Jusbrasil', 'location': 'Belo Horizonte ou Salvador'}, {'title': 'Manager Client Support RH Boutique Partners', 'company': 'Waterworks', 'location': 'Remote'}, {'title': 'Senior Manager Clinical Biomarker Operations', 'company': 'Apogee Therapeutics', 'location': 'Remote'}, {'title': 'Executive Briefing Specialst', 'company': 'New Relic', 'location': 'San Francisco'}]","[{'title': ""Is Saudi Arabia's sports revolution unravelling?"", 'source': 'bbc_sport'}, {'title': 'Dua Lipa declines offer to perform at Fury v Joshua', 'source': 'bbc_sport'}, {'title': 'Van Gerwen punched in face during bar attack', 'source': 'bbc_sport'}, {'title': 'Why was Mudryk given ban in secret and what happens now?', 'source': 'bbc_sport'}, {'title': 'Time for Isak & Wirtz to prove they are the future for Liverpool', 'source': 'bbc_sport'}]",💼 Job market activity detected | ⚽ High sports engagement,18,moderate_pressure,35
2026-05-01T13:16:47.295176,hourly,Lagos,Nigeria,1374.898271,8,{},"[{'source': 'punch', 'title': 'May Day: NLC, TUC endorse Sokoto gov for second term'}, {'source': 'punch', 'title': 'EPL: Big boost for Chelsea as James, Colwill return'}, {'source': 'punch', 'title': 'NDC begins nationwide congresses ahead of May 9 national convention'}, {'source': 'vanguard', 'title': 'Tinubu approves over ₦1.1trn infrastructure projects for Kaduna – Gov. Uba Sani hails FG'}, {'source': 'vanguard', 'title': 'I did’t want to marry an artiste, pastor, politician – Banky W’s wife Adesua'}, {'source': 'vanguard', 'title': 'Iran delivers new proposal for US talks via Pakistan'}]","[{'title': 'Product Marketing Lead', 'company': 'Paragon', 'location': 'Los Angeles or Remote'}, {'title': 'Legal Data Analyst Junior Vaga Afirmativa para PCD', 'company': 'Jusbrasil', 'location': 'Belo Horizonte ou Salvador'}, {'title': 'Manager Client Support RH Boutique Partners', 'company': 'Waterworks', 'location': 'Remote'}, {'title': 'Senior Manager Clinical Biomarker Operations', 'company': 'Apogee Therapeutics', 'location': 'Remote'}, {'title': 'Executive Briefing Specialst', 'company': 'New Relic', 'location': 'San Francisco'}]","[{'title': 'Higgins and Murphy locked at 8-8 in semi-final', 'source': 'bbc_sport'}, {'title': ""Is Saudi Arabia's sports revolution unravelling?"", 'source': 'bbc_sport'}, {'title': 'Dua Lipa declines offer to perform at Fury v Joshua', 'source': 'bbc_sport'}, {'title': 'Van Gerwen punched in face during bar attack', 'source': 'bbc_sport'}, {'title': 'Why was Mudryk given ban in secret and what happens now?', 'source': 'bbc_sport'}]",💼 Job market activity detected | ⚽ High sports engagement,15,moderate_pressure,35
2026-05-01T14:19:29.545166,hourly,Lagos,Nigeria,1374.819772,8,"{'fuel price Nigeria': 0, 'dollar rate Nigeria': 0, 'food price Nigeria': 100, 'jobs in Nigeria': 0, 'isPartial': True}","[{'source': 'punch', 'title': 'S’Court Judgment: No leadership vacuum, PDP faction slams Wabara, others'}, {'source': 'punch', 'title': 'NBA urges structural reform in legal practice'}, {'source': 'punch', 'title': '2027: Elect leaders who prioritise living wage, NNPP urges workers'}, {'source': 'vanguard', 'title': 'Arsenal must manage emotions of title race – Arteta'}, {'source': 'vanguard', 'title': 'How to watch, live stream Portable vs Carter Efe tonight'}, {'source': 'vanguard', 'title': 'NDC fixes national convention for May 9, begins nationwide congresses'}]","[{'title': 'Product Marketing Lead', 'company': 'Paragon', 'location': 'Los Angeles or Remote'}, {'title': 'Legal Data Analyst Junior Vaga Afirmativa para PCD', 'company': 'Jusbrasil', 'location': 'Belo Horizonte ou Salvador'}, {'title': 'Manager Client Support RH Boutique Partners', 'company': 'Waterworks', 'location': 'Remote'}, {'title': 'Senior Manager Clinical Biomarker Operations', 'company': 'Apogee Therapeutics', 'location': 'Remote'}, {'title': 'Executive Briefing Specialst', 'company': 'New Relic', 'location': 'San Francisco'}]","[{'title': 'Higgins and Murphy locked at 8-8 in semi-final', 'source': 'bbc_sport'}, {'title': ""Vonn still in 'survival mode' after Olympic crash"", 'source': 'bbc_sport'}, {'title': 'Dua Lipa declines offer to perform at Fury v Joshua', 'source': 'bbc_sport'}, {'title': 'Van Gerwen punched in face during bar attack', 'source': 'bbc_sport'}, {'title': 'Why was Mudryk given ban in secret and what happens now?', 'source': 'bbc_sport'}]",💼 Job market activity detected | ⚽ High sports engagement,21,high_pressure,35
2026-05-01T15:59:10.899463,hourly,Lagos,Nigeria,1374.819812,8,"{'fuel price Nigeria': 0, 'dollar rate Nigeria': 0, 'food price Nigeria': 0, 'jobs in Nigeria': 0, 'isPartial': True}","[{'source': 'punch', 'title': 'David Mark’s lawyer hails INEC for restoring ADC leadership'}, {'source': 'punch', 'title': 'Sanwo-Olu approves N50,000 wage award for Lagos workers'}, {'source': 'punch', 'title': 'Supreme Court verdict: Natasha urges aggrieved PDP leaders to reconcile'}, {'source': 'vanguard', 'title': 'How we discovered hotel harbouring bandits – Rivers LG boss'}, {'source': 'vanguard', 'title': 'Man Utd boss Carrick relishes ‘special’ Liverpool rivalry'}, {'source': 'vanguard', 'title': 'PDP crisis: Akpoti-Uduaghan urges calm, dismisses claims about Anyanwu'}]","[{'title': 'Senior Frontend Developer', 'company': 'Sanctuary Computer', 'location': ''}, {'title': 'Product Marketing Lead', 'company': 'Paragon', 'location': 'Los Angeles or Remote'}, {'title': 'Legal Data Analyst Junior Vaga Afirmativa para PCD', 'company': 'Jusbrasil', 'location': 'Belo Horizonte ou Salvador'}, {'title': 'Manager Client Support RH Boutique Partners', 'company': 'Waterworks', 'location': 'Remote'}, {'title': 'Senior Manager Clinical Biomarker Operations', 'company': 'Apogee Therapeutics', 'location': 'Remote'}]","[{'title': ""'It's like we're all crying and relegated' - Spurs' De Zerbi delivers monologue"", 'source': 'bbc_sport'}, {'title': ""Vonn still in 'survival mode' after Olympic crash"", 'source': 'bbc_sport'}, {'title': 'Dua Lipa declines offer to perform at Fury v Joshua', 'source': 'bbc_sport'}, {'title': 'Van Gerwen punched in face during bar attack', 'source': 'bbc_sport'}, {'title': 'Infantino attempts to orchestrate Israel-Palestine handshake', 'source': 'bbc_sport'}]",💼 Job market activity detected | ⚽ High sports engagement,18,moderate_pressure,45
2026-05-01T17:08:45.689901,hourly,Lagos,Nigeria,1375.101658,24,{},"[{'source': 'punch', 'title': 'Use AI responsibly, Ekiti lawmaker advises Nigerian students'}, {'source': 'punch', 'title': 'Use AI responsibly, Ekiti lawmaker advises Nigerian students'}, {'source': 'punch', 'title': 'Ex-Kaduna councillor picks APC forms for Assembly race'}, {'source': 'vanguard', 'title': 'Xenophobia: “How many jobs have you created after attacks?” — Malema to South Africans'}, {'source': 'vanguard', 'title': 'Trump says ‘not satisfied’ with new Iran proposal'}, {'source': 'vanguard', 'title': 'Trump says will raise US tariffs on EU cars, trucks to 25%'}]","[{'title': 'Strategic Business Development Consultant', 'company': 'Vonage', 'location': 'Spain'}, {'title': 'Founding Engineer', 'company': 'Haast', 'location': 'New York '}, {'title': 'Staff Data Engineer', 'company': 'Imagine Pediatrics', 'location': 'United States'}, {'title': 'Business Development Representative', 'company': 'Garner Health', 'location': ''}, {'title': 'Sales Development Representative North America June Hiring Class', 'company': 'Hostaway', 'location': ''}]","[{'title': ""'It's like we're all crying and relegated' - Spurs' De Zerbi delivers monologue"", 'source': 'bbc_sport'}, {'title': 'What does future hold for Havertz after season blighted by injury?', 'source': 'bbc_sport'}, {'title': ""Vonn still in 'survival mode' after Olympic crash"", 'source': 'bbc_sport'}, {'title': 'Van Gerwen punched in face during bar attack', 'source': 'bbc_sport'}, {'title': 'Dua Lipa declines offer to perform at Fury v Joshua', 'source': 'bbc_sport'}]",💼 Job market activity detected | ⚽ High sports engagement,15,moderate_pressure,50
2026-05-01T19:15:49.232761,hourly,Lagos,Nigeria,1375.960377,24,"{'fuel price Nigeria': 0, 'dollar rate Nigeria': 0, 'food price Nigeria': 0, 'jobs in Nigeria': 0, 'isPartial': True}","[{'source': 'punch', 'title': 'Academics urged to join politics'}, {'source': 'punch', 'title': 'Anambra youths protest killing of 26-year-old, demand probe'}, {'source': 'punch', 'title': 'FG approves national aircraft leasing company'}, {'source': 'vanguard', 'title': 'Senator Aishatu Binani dumps ADC for NDC'}, {'source': 'vanguard', 'title': 'I gave my dad car E-Money gave me, he rejected it — Peller'}, {'source': 'vanguard', 'title': 'Zenith Bank posts N360.9bn Q1 2026 profit as revenue hits N1trn'}]","[{'title': 'Strategic Business Development Consultant', 'company': 'Vonage', 'location': 'Spain'}, {'title': 'Founding Engineer', 'company': 'Haast', 'location': 'New York '}, {'title': 'Staff Data Engineer', 'company': 'Imagine Pediatrics', 'location': 'United States'}, {'title': 'Business Development Representative', 'company': 'Garner Health', 'location': ''}, {'title': 'Sales Development Representative North America June Hiring Class', 'company': 'Hostaway', 'location': ''}]","[{'title': ""'Embarrassment to snooker' - Wu and Allen play longest Crucible frame"", 'source': 'bbc_sport'}, {'title': ""Ferrari's Leclerc fastest in Miami practice"", 'source': 'bbc_sport'}, {'title': ""'It's like we're all crying and relegated' - Spurs' De Zerbi delivers monologue"", 'source': 'bbc_sport'}, {'title': 'Raducanu links up with coach from US Open win', 'source': 'bbc_sport'}, {'title': 'What does future hold for Havertz after season blighted by injury?', 'source': 'bbc_sport'}]",💼 Job market activity detected | ⚽ High sports engagement,18,moderate_pressure,35
2026-05-01T20:55:38.712996,hourly,Lagos,Nigeria,1375.980377,24,"{'fuel price Nigeria': 0, 'dollar rate Nigeria': 0, 'food price Nigeria': 0, 'jobs in Nigeria': 0, 'isPartial': True}","[{'source': 'punch', 'title': '‘Humanity paying the price’ for Middle East crisis — UN chief'}, {'source': 'punch', 'title': 'INEC updates portal, recognises Baba-Ahmed as PRP chairman'}, {'source': 'punch', 'title': 'Nigeria assumes office as AU peace, security council chair'}, {'source': 'vanguard', 'title': 'May Day: C’River to pay next gratuity batch in weeks – Gov Otu'}, {'source': 'vanguard', 'title': 'Trump announces new sanctions against Cuban government'}, {'source': 'vanguard', 'title': 'Nigeria risks instability without credible opposition in 2027 — Peterside'}]","[{'title': 'Strategic Business Development Consultant', 'company': 'Vonage', 'location': 'Spain'}, {'title': 'Founding Engineer', 'company': 'Haast', 'location': 'New York '}, {'title': 'Staff Data Engineer', 'company': 'Imagine Pediatrics', 'location': 'United States'}, {'title': 'Business Development Representative', 'company': 'Garner Health', 'location': ''}, {'title': 'Sales Development Representative North America June Hiring Class', 'company': 'Hostaway', 'location': ''}]","[{'title': ""'Embarrassment to snooker' - Wu and Allen play longest Crucible frame"", 'source': 'bbc_sport'}, {'title': ""'It's like we're all crying and relegated' - Spurs' De Zerbi delivers monologue"", 'source': 'bbc_sport'}, {'title': 'Raducanu links up with coach from US Open win', 'source': 'bbc_sport'}, {'title': 'What does future hold for Havertz after season blighted by injury?', 'source': 'bbc_sport'}, {'title': 'Van Gerwen punched in face during bar attack', 'source': 'bbc_sport'}]",🚨 Security concerns detected | 💼 Job market activity detected | ⚽ High sports engagement,28,crisis_signal,50
2026-05-01T21:55:48.311331,hourly,Lagos,Nigeria,1375.980377,24,"{'fuel price Nigeria': 0, 'dollar rate Nigeria': 0, 'food price Nigeria': 0, 'jobs in Nigeria': 0, 'isPartial': True}","[{'source': 'punch', 'title': 'Sanwo-Olu hails Tinubu over Lagos green line approval'}, {'source': 'punch', 'title': 'Kwara reiterates commitment to improved healthcare'}, {'source': 'punch', 'title': 'Female aspirant joins 2027 Gombe governorship race'}, {'source': 'vanguard', 'title': 'Leeds beat Burnley to virtually secure Premier League survival'}, {'source': 'vanguard', 'title': 'FG clarifies BEA scholarship status, rules out reinstatement'}, {'source': 'vanguard', 'title': '2027: Adebutu declares Ogun governorship ambition under PDP'}]","[{'title': 'Strategic Business Development Consultant', 'company': 'Vonage', 'location': 'Spain'}, {'title': 'Founding Engineer', 'company': 'Haast', 'location': 'New York '}, {'title': 'Staff Data Engineer', 'company': 'Imagine Pediatrics', 'location': 'United States'}, {'title': 'Business Development Representative', 'company': 'Garner Health', 'location': ''}, {'title': 'Sales Development Representative North America June Hiring Class', 'company': 'Hostaway', 'location': ''}]","[{'title': 'Higgins builds slender semi-final lead over Murphy', 'source': 'bbc_sport'}, {'title': 'Norris on Miami sprint pole as McLaren return to form', 'source': 'bbc_sport'}, {'title': ""'Embarrassment to snooker' - Wu and Allen play longest Crucible frame"", 'source': 'bbc_sport'}, {'title': ""'It's like we're all crying and relegated' - Spurs' De Zerbi delivers monologue"", 'source': 'bbc_sport'}, {'title': 'Raducanu links up with coach from US Open win', 'source': 'bbc_sport'}]",💼 Job market activity detected | ⚽ High sports engagement,18,moderate_pressure,35
2026-05-01T22:53:35.158763,hourly,Lagos,Nigeria,1375.980377,24,"{'fuel price Nigeria': 0, 'dollar rate Nigeria': 0, 'food price Nigeria': 0, 'jobs in Nigeria': 0, 'isPartial': True}","[{'source': 'punch', 'title': 'AAC, Take It Back Movement rally Anambra residents for voter registration'}, {'source': 'punch', 'title': 'Sanwo-Olu hails Tinubu over Lagos green line approval'}, {'source': 'punch', 'title': 'Kwara reiterates commitment to improved healthcare'}, {'source': 'vanguard', 'title': 'Pope names former undocumented migrant as US bishop of West Virginia'}, {'source': 'vanguard', 'title': 'Troops rescue six abducted Ngoshe women from Boko Haram/ISWAP terrorists'}, {'source': 'vanguard', 'title': 'Trump tells US Congress hostilities in Iran ‘have terminated’'}]","[{'title': 'Strategic Business Development Consultant', 'company': 'Vonage', 'location': 'Spain'}, {'title': 'Founding Engineer', 'company': 'Haast', 'location': 'New York '}, {'title': 'Staff Data Engineer', 'company': 'Imagine Pediatrics', 'location': 'United States'}, {'title': 'Business Development Representative', 'company': 'Garner Health', 'location': ''}, {'title': 'Sales Development Representative North America June Hiring Class', 'company': 'Hostaway', 'location': ''}]","[{'title': ""'Embarrassment to snooker' - Wu and Allen play longest Crucible frame"", 'source': 'bbc_sport'}, {'title': 'Norris on Miami sprint pole as McLaren return to form', 'source': 'bbc_sport'}, {'title': 'Higgins builds slender semi-final lead over Murphy', 'source': 'bbc_sport'}, {'title': ""'It's like we're all crying and relegated' - Spurs' De Zerbi delivers monologue"", 'source': 'bbc_sport'}, {'title': 'Raducanu links up with coach from US Open win', 'source': 'bbc_sport'}]",💼 Job market activity detected | ⚽ High sports engagement,18,moderate_pressure,35
2026-05-01T23:54:17.243297,hourly,Lagos,Nigeria,1375.980377,71,{},"[{'source': 'punch', 'title': 'Nigeria’s debt to World Bank surged by $2.08bn in 2025 – Report'}, {'source': 'punch', 'title': 'Court orders stay of action on disputed vessel'}, {'source': 'punch', 'title': 'Banks shun agric lending despite credit guarantee scheme'}, {'source': 'vanguard', 'title': 'PETAN reaffirms commitment to indigenous capacity as Nigeria takes centre stage at OTC 2026'}, {'source': 'vanguard', 'title': 'ODEGBAMI: 1984 – Best and worst year of my football career'}, {'source': 'vanguard', 'title': 'D’Tigresses WNBA Tour is long-term investment – Ugo Udezue'}]","[{'title': 'Strategic Business Development Consultant', 'company': 'Vonage', 'location': 'Spain'}, {'title': 'Founding Engineer', 'company': 'Haast', 'location': 'New York '}, {'title': 'Staff Data Engineer', 'company': 'Imagine Pediatrics', 'location': 'United States'}, {'title': 'Business Development Representative', 'company': 'Garner Health', 'location': ''}, {'title': 'Sales Development Representative North America June Hiring Class', 'company': 'Hostaway', 'location': ''}]","[{'title': ""All but safe? Leeds ease 'anxiety' - and increase pressure on others"", 'source': 'bbc_sport'}, {'title': ""'Embarrassment to snooker' - Wu and Allen play longest Crucible frame"", 'source': 'bbc_sport'}, {'title': 'Norris on Miami sprint pole as McLaren return to form', 'source': 'bbc_sport'}, {'title': 'Higgins builds slender semi-final lead over Murphy', 'source': 'bbc_sport'}, {'title': ""'It's like we're all crying and relegated' - Spurs' De Zerbi delivers monologue"", 'source': 'bbc_sport'}]",🌧️ Heavy rainfall risk | 💼 Job market activity detected | ⚽ High sports engagement,30,crisis_signal,45
2026-05-02T02:52:26.804490,hourly,Lagos,Nigeria,1375.980377,71,"{'fuel price Nigeria': 0, 'dollar rate Nigeria': 0, 'food price Nigeria': 0, 'jobs in Nigeria': 0, 'isPartial': True}","[{'source': 'punch', 'title': 'No school shutdown under Adeleke – Govt'}, {'source': 'punch', 'title': 'Okon-George eyes second World Relays medal'}, {'source': 'punch', 'title': 'Petit backs Osimhen to end Chelsea’s No. 9 curse'}, {'source': 'vanguard', 'title': 'Peter Obi not a candidate, going nowhere in 2027 — ex-Obidient Kitiya'}, {'source': 'vanguard', 'title': 'FirstBank confirms Olayinka Ijabiyi as Group Head, Marketing and Corporate Communications'}, {'source': 'vanguard', 'title': 'Troops rescue six abducted women, children in Borno'}]","[{'title': 'US Payroll Administrator', 'company': 'Lush Handmade Cosmetics', 'location': 'United States'}, {'title': 'Vice President of Global Customer Success &amp; Support', 'company': 'JumpCloud', 'location': ''}, {'title': 'Data Success Manager', 'company': 'Murmuration', 'location': ''}, {'title': 'Strategic Success Manager', 'company': 'BenchPrep', 'location': 'Remote'}, {'title': 'Senior Sales Enablement Manager', 'company': 'SugarAI', 'location': 'US - Remote'}]","[{'title': ""All but safe? Leeds ease 'anxiety' - and increase pressure on others"", 'source': 'bbc_sport'}, {'title': ""'Embarrassment to snooker' - Wu and Allen play longest Crucible frame"", 'source': 'bbc_sport'}, {'title': 'Norris on Miami sprint pole as McLaren return to form', 'source': 'bbc_sport'}, {'title': 'Higgins builds slender semi-final lead over Murphy', 'source': 'bbc_sport'}, {'title': ""'It's like we're all crying and relegated' - Spurs' De Zerbi delivers monologue"", 'source': 'bbc_sport'}]",🌧️ Heavy rainfall risk | 💼 Job market activity detected | ⚽ High sports engagement,33,crisis_signal,45
2026-05-02T05:39:22.200536,hourly,Lagos,Nigeria,1375.980377,69,"{'fuel price Nigeria': 0, 'dollar rate Nigeria': 0, 'food price Nigeria': 0, 'jobs in Nigeria': 0, 'isPartial': True}","[{'source': 'punch', 'title': 'Air Peace clarifies Gatwick–Lagos flight disruption, denies abandoning passengers'}, {'source': 'punch', 'title': 'Workers’ Day: Lagos workers decry fuel costs, hardship'}, {'source': 'punch', 'title': 'US to withdraw 5,000 soldiers from Germany'}, {'source': 'vanguard', 'title': 'Peter Obi not a candidate, going nowhere in 2027 — ex-Obidient Kitiya'}, {'source': 'vanguard', 'title': 'FirstBank confirms Olayinka Ijabiyi as Group Head, Marketing and Corporate Communications'}, {'source': 'vanguard', 'title': 'Troops rescue six abducted women, children in Borno'}]","[{'title': 'US Payroll Administrator', 'company': 'Lush Handmade Cosmetics', 'location': 'United States'}, {'title': 'Vice President of Global Customer Success &amp; Support', 'company': 'JumpCloud', 'location': ''}, {'title': 'Data Success Manager', 'company': 'Murmuration', 'location': ''}, {'title': 'Strategic Success Manager', 'company': 'BenchPrep', 'location': 'Remote'}, {'title': 'Senior Sales Enablement Manager', 'company': 'SugarAI', 'location': 'US - Remote'}]","[{'title': ""All but safe? Leeds ease 'anxiety' - and increase pressure on others"", 'source': 'bbc_sport'}, {'title': ""'Shy' Anderson on England nerves and becoming a leader"", 'source': 'bbc_sport'}, {'title': ""'Embarrassment to snooker' - Wu and Allen play longest Crucible frame"", 'source': 'bbc_sport'}, {'title': 'Norris on Miami sprint pole as McLaren return to form', 'source': 'bbc_sport'}, {'title': 'Higgins builds slender semi-final lead over Murphy', 'source': 'bbc_sport'}]",🌧️ Heavy rainfall risk | ⛽ Fuel-related pressure detected | 💼 Job market activity detected | ⚽ High sports engagement,43,crisis_signal,50
2026-05-02T07:48:03.105294,hourly,Lagos,Nigeria,1375.980377,69,"{'fuel price Nigeria': 0, 'dollar rate Nigeria': 0, 'food price Nigeria': 0, 'jobs in Nigeria': 0, 'isPartial': True}","[{'source': 'punch', 'title': 'Senior Bolivian magistrate dies after gun attack in taxi'}, {'source': 'punch', 'title': 'APC chieftain predicts landslide victory for Tinubu in Kano'}, {'source': 'punch', 'title': 'E-Money gifts Carter Efe N50m for beating Portable in celebrity boxing'}, {'source': 'vanguard', 'title': 'Hezbollah’s fibre-optic drones pose new challenge for Israel'}, {'source': 'vanguard', 'title': 'Delta Daylight Murder: What have I done to police, killing my two sons — Grieving mother'}, {'source': 'vanguard', 'title': '‘Trump is an idiot’ – Californians fume over rising petrol prices'}]","[{'title': 'US Payroll Administrator', 'company': 'Lush Handmade Cosmetics', 'location': 'United States'}, {'title': 'Vice President of Global Customer Success &amp; Support', 'company': 'JumpCloud', 'location': ''}, {'title': 'Data Success Manager', 'company': 'Murmuration', 'location': ''}, {'title': 'Strategic Success Manager', 'company': 'BenchPrep', 'location': 'Remote'}, {'title': 'Senior Sales Enablement Manager', 'company': 'SugarAI', 'location': 'US - Remote'}]","[{'title': ""All but safe? Leeds ease 'anxiety' - and increase pressure on others"", 'source': 'bbc_sport'}, {'title': ""'Shy' Anderson on England nerves and becoming a leader"", 'source': 'bbc_sport'}, {'title': ""England's Wood hoping to bowl again this summer"", 'source': 'bbc_sport'}, {'title': 'The striker quietly making a big noise at Arsenal', 'source': 'bbc_sport'}, {'title': ""'Embarrassment to snooker' - Wu and Allen play longest Crucible frame"", 'source': 'bbc_sport'}]",🌧️ Heavy rainfall risk | 💼 Job market activity detected | ⚽ High sports engagement,33,crisis_signal,55
